SY-2024-25-Proficiency-ELA-2025.12.18-TT-MASKED_reload3.10 (1)
TableName,SY,DistrictCode,LocationCode,SchoolCode,DistrictName,LocationName,Demographic,SubTest,AttenuatedProficiencyRate,ProficientN,AttenuatedStudentTotal
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,FRL,ELA,41.7,1851,4439
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,NotFRL,ELA,*,*,*
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,DirectCert,ELA,37.84,1165,3079
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,NotDirectCert,ELA,50.44,686,1360
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,SwD,ELA,13.48,119,883
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,NotSwD,ELA,48.71,1732,3556
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,EL,ELA,19.8,137,692
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,NotEL,ELA,45.74,1714,3747
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Migratory,ELA,*,*,*
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Homeless,ELA,30.67,23,75
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Military,ELA,*,*,*
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,AnyNative,ELA,*,*,18
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,AnyBlack,ELA,40.65,50,123
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,All,ELA,39.2,69,176
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Female,ELA,48.61,35,72
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Male,ELA,32.69,34,104
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Hispanic,ELA,38.24,52,136
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,White,ELA,38.95,67,172
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Black,ELA,*,*,*
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Asian,ELA,*,*,*
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Native,ELA,*,*,*
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Multirace,ELA,*,*,*
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,FRL,ELA,39.2,69,176
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,NotFRL,ELA,*,*,*
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,DirectCert,ELA,34.33,23,67
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,NotDirectCert,ELA,42.2,46,109
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,SwD,ELA,≤ 20,*,35
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,NotSwD,ELA,46.48,66,142
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,EL,ELA,31.11,14,45
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,NotEL,ELA,41.98,55,131
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Migratory,ELA,*,*,*
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Homeless,ELA,*,*,*
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Military,ELA,*,*,*
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,AnyNative,ELA,*,*,*
ProficiencyELA,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,AnyBlack,ELA,*,*,*
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,All,ELA,35.43,135,381
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,Female,ELA,39.9,77,193
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,Male,ELA,30.85,58,188
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,Hispanic,ELA,32.7,104,318
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,White,ELA,35.43,135,381
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,Black,ELA,*,*,*
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,Asian,ELA,*,*,*
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,Native,ELA,*,*,*
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,Multirace,ELA,*,*,*
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,FRL,ELA,35.43,135,381
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,NotFRL,ELA,*,*,*
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,DirectCert,ELA,29,58,200
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,NotDirectCert,ELA,42.54,77,181
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,SwD,ELA,≤ 20,*,54
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,NotSwD,ELA,39.45,129,327
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,EL,ELA,12.62,13,103
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,NotEL,ELA,43.88,122,278
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,Migratory,ELA,*,*,12
